check,status,subject,detail
chronological_order,pass,CNUR-000177,"1994,1996"
chronological_order,pass,CNUR-000050,1994
chronological_order,pass,CNUR-000056,1994
chronological_order,pass,CNUR-000189,1994
chronological_order,pass,CNUR-000178,1995
chronological_order,pass,CNUR-000192,1995
chronological_order,pass,CNUR-000344,1995
chronological_order,pass,CNUR-000013,1996
chronological_order,pass,CNUR-000108,1996
chronological_order,pass,CNUR-000122,1996
chronological_order,pass,CNUR-000248,1996
chronological_order,pass,CNUR-000295,1996
chronological_order,pass,CNUR-000294,1996
chronological_order,pass,CNUR-000345,1996
chronological_order,pass,CNUR-000149,1997
chronological_order,pass,CNUR-000165,1997
chronological_order,pass,CNUR-000193,1997
chronological_order,pass,CNUR-000225,1997
chronological_order,pass,CNUR-000259,1997
chronological_order,pass,CNUR-000267,1997
chronological_order,pass,CNUR-000268,1997
name_chain,pass,CNUR-000227,WIKI-1997-064:贺州地区 -> PL-2002-004:贺州地区
chronological_order,pass,CNUR-000227,"1997,2002"
chronological_order,pass,CNUR-000247,"1997,2000"
chronological_order,pass,CNUR-000109,1998
chronological_order,pass,CNUR-000130,1998
chronological_order,pass,CNUR-000166,1998
chronological_order,pass,CNUR-000179,1998
chronological_order,pass,CNUR-000249,1998
chronological_order,pass,CNUR-000323,1998
chronological_order,pass,CNUR-000253,"1998,2000"
chronological_order,pass,CNUR-000020,1999
chronological_order,pass,CNUR-000071,1999
chronological_order,pass,CNUR-000110,"1999,2011"
chronological_order,pass,CNUR-000111,1999
chronological_order,pass,CNUR-000123,1999
chronological_order,pass,CNUR-000194,1999
chronological_order,pass,CNUR-000250,1999
chronological_order,pass,CNUR-000296,1999
chronological_order,pass,CNUR-000029,1999
chronological_order,pass,CNUR-000131,2000
chronological_order,pass,CNUR-000097,2000
chronological_order,pass,CNUR-000132,2000
chronological_order,pass,CNUR-000167,2000
chronological_order,pass,CNUR-000168,2000
chronological_order,pass,CNUR-000251,2000
chronological_order,pass,CNUR-000252,2000
chronological_order,pass,CNUR-000021,2000
chronological_order,pass,CNUR-000022,2000
chronological_order,pass,CNUR-000023,2000
chronological_order,pass,CNUR-000260,2000
chronological_order,pass,CNUR-000297,2000
chronological_order,pass,CNUR-000133,2000
chronological_order,pass,CNUR-000134,2000
chronological_order,pass,CNUR-000151,2000
chronological_order,pass,CNUR-000114,2000
chronological_order,pass,CNUR-000269,2000
chronological_order,pass,CNUR-000112,2000
chronological_order,pass,CNUR-000180,2000
chronological_order,pass,CNUR-000081,2000
chronological_order,pass,CNUR-000270,2001
chronological_order,pass,CNUR-000030,2001
chronological_order,pass,CNUR-000304,2001
chronological_order,pass,CNUR-000324,2001
chronological_order,pass,CNUR-000298,2001
chronological_order,pass,CNUR-000031,2001
chronological_order,pass,CNUR-000338,2001
chronological_order,pass,CNUR-000305,2002
chronological_order,pass,CNUR-000226,2002
chronological_order,pass,CNUR-000306,2002
chronological_order,pass,CNUR-000228,2002
chronological_order,pass,CNUR-000307,2002
chronological_order,pass,CNUR-000308,2002
chronological_order,pass,CNUR-000229,2002
chronological_order,pass,CNUR-000230,2002
chronological_order,pass,CNUR-000271,2002
chronological_order,pass,CNUR-000309,2003
chronological_order,pass,CNUR-000024,2003
name_chain,pass,CNUR-000272,PL-2003-003:思茅市 -> PL-2007-001:思茅市
chronological_order,pass,CNUR-000272,"2003,2007"
chronological_order,pass,CNUR-000032,2003
chronological_order,pass,CNUR-000033,2003
chronological_order,pass,CNUR-000325,2003
chronological_order,pass,CNUR-000310,2004
chronological_order,pass,CNUR-000173,2010
chronological_order,pass,CNUR-000261,2011
chronological_order,pass,CNUR-000262,2011
chronological_order,pass,CNUR-000233,2012
chronological_order,pass,CNUR-000314,2013
chronological_order,pass,CNUR-000283,2014
chronological_order,pass,CNUR-000234,2015
chronological_order,pass,CNUR-000285,2015
chronological_order,pass,CNUR-000328,2015
chronological_order,pass,CNUR-000286,2016
chronological_order,pass,CNUR-000329,2016
chronological_order,pass,CNUR-000287,2017
chronological_order,pass,CNUR-000146,2018
relation_event_reference,pass,WIKI-1987-001,upgrade
relation_from_entity,pass,WIKI-1987-001,CNUR-000106
relation_to_entity,pass,WIKI-1987-001,CNUR-000106
complex_relation_mapping,pass,WIKI-1987-001,upgrade automatic=true
relation_event_reference,pass,WIKI-1987-002,upgrade
relation_from_entity,pass,WIKI-1987-002,CNUR-000095
relation_to_entity,pass,WIKI-1987-002,CNUR-000095
complex_relation_mapping,pass,WIKI-1987-002,upgrade automatic=true
relation_event_reference,pass,WIKI-1987-003,abolish
relation_from_entity,pass,WIKI-1987-003,CNUR-000341
complex_relation_mapping,pass,WIKI-1987-003,abolish automatic=false
relation_event_reference,pass,WIKI-1987-004,rename
relation_from_entity,pass,WIKI-1987-004,CNUR-000238
