entity_id,legacy_entity_id,canonical_name_zh,entity_scope,province_name_zh,province_short_zh,entity_type,first_active_year,last_active_year,status_in_2026,verification_status,name_history,event_count,successor_summary,primary_source_url
CNUR-000053,E220300,四平市,current_panel_entity,吉林省,吉林,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 四平市,0,,
CNUR-000054,E220400,辽源市,current_panel_entity,吉林省,吉林,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 辽源市,0,,
CNUR-000055,E220500,通化市,current_panel_entity,吉林省,吉林,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 通化市,0,,
CNUR-000056,E220600,白山市,current_panel_entity,吉林省,吉林,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-1993 浑江市; 1994-2026 白山市,1,,
CNUR-000057,E220700,松原市,current_panel_entity,吉林省,吉林,prefecture_research_entity,1992,2026,active,wikipedia_entity_verified,1987-1991 [not_established]; 1992-2026 松原市,1,,
CNUR-000058,E220800,白城市,current_panel_entity,吉林省,吉林,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-1992 白城地区; 1993-2026 白城市,1,,
CNUR-000059,E222400,延边朝鲜族自治州,current_panel_entity,吉林省,吉林,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 延边朝鲜族自治州,0,,
CNUR-000060,E230100,哈尔滨市,current_panel_entity,黑龙江省,黑龙江,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 哈尔滨市,0,,
CNUR-000061,E230200,齐齐哈尔市,current_panel_entity,黑龙江省,黑龙江,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 齐齐哈尔市,0,,
CNUR-000062,E230300,鸡西市,current_panel_entity,黑龙江省,黑龙江,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 鸡西市,0,,
CNUR-000063,E230400,鹤岗市,current_panel_entity,黑龙江省,黑龙江,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 鹤岗市,0,,
CNUR-000064,E230500,双鸭山市,current_panel_entity,黑龙江省,黑龙江,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 双鸭山市,0,,
CNUR-000065,E230600,大庆市,current_panel_entity,黑龙江省,黑龙江,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 大庆市,0,,
CNUR-000066,E230700,伊春市,current_panel_entity,黑龙江省,黑龙江,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 伊春市,0,,
CNUR-000067,E230800,佳木斯市,current_panel_entity,黑龙江省,黑龙江,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 佳木斯市,0,,
CNUR-000068,E230900,七台河市,current_panel_entity,黑龙江省,黑龙江,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 七台河市,0,,
CNUR-000069,E231000,牡丹江市,current_panel_entity,黑龙江省,黑龙江,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 牡丹江市,0,,
CNUR-000070,E231100,黑河市,current_panel_entity,黑龙江省,黑龙江,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-1992 黑河地区; 1993-2026 黑河市,1,,
CNUR-000071,E231200,绥化市,current_panel_entity,黑龙江省,黑龙江,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-1998 绥化地区; 1999-2026 绥化市,1,,
CNUR-000072,E232700,大兴安岭地区,current_panel_entity,黑龙江省,黑龙江,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 大兴安岭地区,0,,
CNUR-000073,E310100,上海市,current_panel_entity,上海市,上海,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 上海市,0,,
CNUR-000074,E320100,南京市,current_panel_entity,江苏省,江苏,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 南京市,0,,
CNUR-000075,E320200,无锡市,current_panel_entity,江苏省,江苏,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 无锡市,0,,
CNUR-000076,E320300,徐州市,current_panel_entity,江苏省,江苏,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 徐州市,0,,
CNUR-000077,E320400,常州市,current_panel_entity,江苏省,江苏,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 常州市,0,,
CNUR-000078,E320500,苏州市,current_panel_entity,江苏省,江苏,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 苏州市,0,,
CNUR-000079,E320600,南通市,current_panel_entity,江苏省,江苏,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 南通市,0,,
CNUR-000080,E320700,连云港市,current_panel_entity,江苏省,江苏,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 连云港市,0,,
CNUR-000081,E320800,淮安市,current_panel_entity,江苏省,江苏,prefecture_research_entity,1987,2026,active,event_crosschecked,1987-1999 淮阴市; 2000-2026 淮安市,1,,
CNUR-000082,E320900,盐城市,current_panel_entity,江苏省,江苏,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 盐城市,0,,
CNUR-000083,E321000,扬州市,current_panel_entity,江苏省,江苏,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 扬州市,0,,
CNUR-000084,E321100,镇江市,current_panel_entity,江苏省,江苏,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 镇江市,0,,
CNUR-000085,E321200,泰州市,current_panel_entity,江苏省,江苏,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 泰州市,0,,
CNUR-000086,E321300,宿迁市,current_panel_entity,江苏省,江苏,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 宿迁市,0,,
