prefecture_entity_id,prefecture_name,year,county_to_district_count,district_merge_count,break_flag
CNUR-000202,江门市,2002,1,0,1
CNUR-000204,茂名市,2014,1,0,1
CNUR-000205,肇庆市,2015,1,0,1
CNUR-000206,惠州市,2003,1,0,1
CNUR-000207,梅州市,2013,1,0,1
CNUR-000210,阳江市,2014,1,0,1
CNUR-000211,清远市,2012,1,0,1
CNUR-000214,潮州市,2013,1,0,1
CNUR-000215,揭阳市,2012,1,0,1
CNUR-000216,云浮市,2014,1,0,1
CNUR-000217,南宁市,2001,0,0,
CNUR-000217,南宁市,2004,1,0,1
CNUR-000217,南宁市,2015,1,0,1
CNUR-000218,柳州市,2002,0,0,
CNUR-000218,柳州市,2016,1,0,1
CNUR-000219,桂林市,2013,1,0,1
CNUR-000220,梧州市,2003,0,0,
CNUR-000220,梧州市,2013,0,0,
CNUR-000224,贵港市,2003,0,0,
CNUR-000225,玉林市,2013,0,0,
CNUR-000226,百色市,2019,1,0,1
CNUR-000227,贺州市,2016,0,0,
CNUR-000228,河池市,2016,0,0,
CNUR-000231,海口市,2002,0,0,
CNUR-000232,三亚市,2014,0,0,
CNUR-000235,重庆市,2000,1,0,1
CNUR-000235,重庆市,2001,1,0,1
CNUR-000235,重庆市,2006,0,0,
CNUR-000235,重庆市,2011,2,0,1
CNUR-000235,重庆市,2014,2,0,1
CNUR-000235,重庆市,2015,2,0,1
CNUR-000235,重庆市,2016,3,0,1
CNUR-000236,成都市,2001,1,0,1
CNUR-000236,成都市,2002,1,0,1
