entity_id,name_zh,start_year,end_year,legal_status,verification_status,derivation_basis
CNUR-000207,梅州市,1988,2026,active,reviewed,reviewed_event_chain
CNUR-000208,,1987,1987,not_established,inferred,event_chain_inference
CNUR-000208,汕尾市,1988,2026,active,reviewed,reviewed_event_chain
CNUR-000209,,1987,1987,not_established,inferred,event_chain_inference
CNUR-000209,河源市,1988,2026,active,reviewed,reviewed_event_chain
CNUR-000210,,1987,1987,not_established,inferred,event_chain_inference
CNUR-000210,阳江市,1988,2026,active,reviewed,reviewed_event_chain
CNUR-000211,,1987,1987,not_established,inferred,event_chain_inference
CNUR-000211,清远市,1988,2026,active,reviewed,reviewed_event_chain
CNUR-000212,东莞市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000213,中山市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000214,潮州市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000215,揭阳市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000216,云浮市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000217,南宁市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000218,柳州市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000219,桂林市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000220,梧州市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000221,北海市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000222,,1987,1992,not_established,inferred,event_chain_inference
CNUR-000222,防城港市,1993,2026,active,reviewed,reviewed_event_chain
CNUR-000223,钦州地区,1987,1993,active,reviewed,reviewed_event_chain
CNUR-000223,钦州市,1994,2026,active,reviewed,reviewed_event_chain
CNUR-000224,贵港市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000225,玉林地区,1987,1996,active,reviewed,reviewed_event_chain
CNUR-000225,玉林市,1997,2026,active,reviewed,reviewed_event_chain
CNUR-000226,百色地区,1987,2001,active,reviewed,reviewed_event_chain
CNUR-000226,百色市,2002,2026,active,reviewed,existing_2000_2024_roster
CNUR-000227,梧州地区,1987,1996,active,reviewed,reviewed_event_chain
CNUR-000227,贺州地区,1997,2001,active,reviewed,reviewed_event_chain
CNUR-000227,贺州市,2002,2026,active,reviewed,existing_2000_2024_roster
CNUR-000228,河池地区,1987,2001,active,reviewed,reviewed_event_chain
CNUR-000228,河池市,2002,2026,active,reviewed,existing_2000_2024_roster
CNUR-000229,柳州地区,1987,2001,active,reviewed,reviewed_event_chain
CNUR-000229,来宾市,2002,2026,active,reviewed,existing_2000_2024_roster
CNUR-000230,,1987,2001,not_established,inferred,event_chain_inference
CNUR-000230,崇左市,2002,2026,active,reviewed,existing_2000_2024_roster
CNUR-000231,海口市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000232,三亚市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000233,,1987,2011,not_established,inferred,event_chain_inference
CNUR-000233,三沙市,2012,2026,active,reviewed,existing_2000_2024_roster
CNUR-000234,儋州市,1987,1999,active,reviewed,reviewed_event_chain
CNUR-000234,,2000,2014,not_prefecture_level,reviewed,existing_2000_2024_roster
CNUR-000234,儋州市,2015,2026,active,reviewed,existing_2000_2024_roster
CNUR-000235,重庆市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000236,成都市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000237,自贡市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000238,攀枝花市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000239,泸州市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000240,德阳市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000241,绵阳市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000242,广元市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000243,遂宁市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000244,内江市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000245,乐山市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000246,南充地区,1987,1992,active,reviewed,reviewed_event_chain
CNUR-000246,南充市,1993,2026,active,reviewed,reviewed_event_chain
CNUR-000247,,1987,1996,not_established,inferred,event_chain_inference
CNUR-000247,眉山地区,1997,1999,active,reviewed,reviewed_event_chain
CNUR-000247,眉山市,2000,2026,active,reviewed,existing_2000_2024_roster
CNUR-000248,宜宾地区,1987,1995,active,reviewed,reviewed_event_chain
CNUR-000248,宜宾市,1996,2026,active,reviewed,reviewed_event_chain
CNUR-000249,广安地区,1987,1997,active,reviewed,reviewed_event_chain
CNUR-000249,广安市,1998,2026,active,reviewed,reviewed_event_chain
CNUR-000250,达川地区,1987,1998,active,reviewed,reviewed_event_chain
CNUR-000250,达州市,1999,2026,active,reviewed,reviewed_event_chain
CNUR-000251,雅安地区,1987,1999,active,reviewed,reviewed_event_chain
CNUR-000251,雅安市,2000,2026,active,reviewed,existing_2000_2024_roster
CNUR-000252,巴中地区,1987,1999,active,reviewed,reviewed_event_chain
CNUR-000252,巴中市,2000,2026,active,reviewed,existing_2000_2024_roster
CNUR-000253,,1987,1997,not_established,inferred,event_chain_inference
CNUR-000253,资阳地区,1998,1999,active,reviewed,reviewed_event_chain
CNUR-000253,资阳市,2000,2026,active,reviewed,existing_2000_2024_roster
CNUR-000254,阿坝藏族羌族自治州,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000255,甘孜藏族自治州,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000256,凉山彝族自治州,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000257,贵阳市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000258,六盘水市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000259,遵义地区,1987,1996,active,reviewed,reviewed_event_chain
CNUR-000259,遵义市,1997,2026,active,reviewed,reviewed_event_chain
CNUR-000260,安顺地区,1987,1999,active,reviewed,reviewed_event_chain
CNUR-000260,安顺市,2000,2026,active,reviewed,existing_2000_2024_roster
CNUR-000261,毕节地区,1987,2010,active,reviewed,reviewed_event_chain
CNUR-000261,毕节市,2011,2026,active,reviewed,existing_2000_2024_roster
CNUR-000262,铜仁地区,1987,2010,active,reviewed,reviewed_event_chain
CNUR-000262,铜仁市,2011,2026,active,reviewed,existing_2000_2024_roster
CNUR-000263,黔西南布依族苗族自治州,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000264,黔东南苗族侗族自治州,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000265,黔南布依族苗族自治州,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000266,昆明市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000267,曲靖地区,1987,1996,active,reviewed,reviewed_event_chain
CNUR-000267,曲靖市,1997,2026,active,reviewed,reviewed_event_chain
CNUR-000268,玉溪地区,1987,1996,active,reviewed,reviewed_event_chain
CNUR-000268,玉溪市,1997,2026,active,reviewed,reviewed_event_chain
CNUR-000269,保山地区,1987,1999,active,reviewed,reviewed_event_chain
CNUR-000269,保山市,2000,2026,active,reviewed,existing_2000_2024_roster
CNUR-000270,昭通地区,1987,2000,active,reviewed,reviewed_event_chain
CNUR-000270,昭通市,2001,2026,active,reviewed,existing_2000_2024_roster
CNUR-000271,丽江地区,1987,2001,active,reviewed,reviewed_event_chain
CNUR-000271,丽江市,2002,2026,active,reviewed,existing_2000_2024_roster
CNUR-000272,思茅地区,1987,2002,active,reviewed,reviewed_event_chain
CNUR-000272,思茅市,2003,2006,active,reviewed,existing_2000_2024_roster
CNUR-000272,普洱市,2007,2026,active,reviewed,existing_2000_2024_roster
CNUR-000273,临沧市,1987,1999,active,reviewed,reviewed_event_chain
CNUR-000273,临沧地区,2000,2002,active,reviewed,existing_2000_2024_roster
CNUR-000273,临沧市,2003,2026,active,reviewed,existing_2000_2024_roster
CNUR-000274,楚雄彝族自治州,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000275,红河哈尼族彝族自治州,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000276,文山壮族苗族自治州,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000277,西双版纳傣族自治州,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000278,大理白族自治州,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000279,德宏傣族景颇族自治州,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000280,怒江傈僳族自治州,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000281,迪庆藏族自治州,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000282,拉萨市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000283,日喀则地区,1987,2013,active,reviewed,reviewed_event_chain
CNUR-000283,日喀则市,2014,2026,active,reviewed,existing_2000_2024_roster
CNUR-000284,昌都市,1987,1999,active,reviewed,reviewed_event_chain
CNUR-000284,昌都地区,2000,2013,active,reviewed,existing_2000_2024_roster
CNUR-000284,昌都市,2014,2026,active,reviewed,existing_2000_2024_roster
CNUR-000285,林芝地区,1987,2014,active,reviewed,reviewed_event_chain
CNUR-000285,林芝市,2015,2026,active,reviewed,existing_2000_2024_roster
CNUR-000286,山南地区,1987,2015,active,reviewed,reviewed_event_chain
