entity_id,legacy_entity_id,canonical_name_zh,province_name_zh,province_short_zh,entity_level,id_namespace,verification_status
CNUR-000189,E430800,张家界市,湖南省,湖南,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000190,E430900,益阳市,湖南省,湖南,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000191,E431000,郴州市,湖南省,湖南,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000192,E431100,永州市,湖南省,湖南,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000193,E431200,怀化市,湖南省,湖南,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000194,E431300,娄底市,湖南省,湖南,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000195,E433100,湘西土家族苗族自治州,湖南省,湖南,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000196,E440100,广州市,广东省,广东,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000197,E440200,韶关市,广东省,广东,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000198,E440300,深圳市,广东省,广东,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000199,E440400,珠海市,广东省,广东,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000200,E440500,汕头市,广东省,广东,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000201,E440600,佛山市,广东省,广东,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000202,E440700,江门市,广东省,广东,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000203,E440800,湛江市,广东省,广东,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000204,E440900,茂名市,广东省,广东,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000205,E441200,肇庆市,广东省,广东,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000206,E441300,惠州市,广东省,广东,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
